embinsert,kloterinsert,flightnoinsert,originsert,registerinsert,destinsert,depdateinsert,etdinsert,arrdateinsert,etainsert,actypeinsert
JKT,001,7301,CGK,PK-GIH,MED,21042026,1745,22042026,0350,773
JKT,001,7401,MED,PK-GIH,CGK,22042026,0520,22042026,1505,773
JKB,002,7302,CGK,PK-GIH,MED,22042026,1155,22042026,2200,773
JKB,002,7402,MED,PK-GIH,PDG,22042026,2330,23042026,0820,773
JKB,003,7303,CGK,PK-GIH,MED,22042026,2255,23042026,0900,773
JKB,003,7403,MED,PK-GIH,CGK,23042026,1030,23042026,2015,773
JKB,004,7304,CGK,PK-GIH,MED,24042026,0455,24042026,1500,773
JKB,004,7404,MED,PK-GIH,CGK,24042026,1630,25042026,0215,773
JKB,005,7305,CGK,PK-GIH,MED,25042026,0955,25042026,2000,773
JKB,005,7405,MED,PK-GIH,CGK,25042026,2130,26042026,0715,773
JKB,006,7306,CGK,PK-GIH,MED,26042026,1655,27042026,0300,773
JKB,006,7406,MED,PK-GIH,CGK,27042026,0430,27042026,1415,773
JKB,007,7307,CGK,PK-GIH,MED,27042026,2255,28042026,0900,773
JKB,007,7407,MED,PK-GIH,CGK,28042026,1030,28042026,2015,773
JKB,008,7308,CGK,PK-GIH,MED,29042026,0655,29042026,1700,773
JKB,008,7408,MED,PK-GIH,CGK,29042026,1830,30042026,0415,773
JKB,009,7309,CGK,PK-GIH,MED,30042026,1525,01052026,0130,773
JKB,009,7409,MED,PK-GIH,CGK,01052026,0300,01052026,1245,773
JKB,010,7310,CGK,PK-GIH,MED,01052026,2155,02052026,0800,773
JKB,010,7410,MED,PK-GIH,CGK,02052026,0930,02052026,1915,773
JKT,011,7311,CGK,PK-GIH,MED,03052026,0510,03052026,1515,773
JKT,011,7411,MED,PK-GIH,CGK,03052026,1645,04052026,0230,773
JKB,012,7312,CGK,PK-GIH,MED,04052026,1055,04052026,2100,773
JKB,012,7412,MED,PK-GIH,BTJ,04052026,2230,05052026,0700,773
JKB,013,7313,CGK,PK-GIH,MED,05052026,1425,06052026,0030,773
JKB,013,7413,MED,PK-GIH,CGK,06052026,0200,06052026,1145,773
JKB,014,7314,CGK,PK-GIH,JED,06052026,2345,07052026,1000,773
JKB,014,7414,JED,PK-GIH,CGK,07052026,1130,07052026,2150,773
JKT,015,7315,CGK,PK-GIH,JED,08052026,0840,08052026,1855,773
JKT,015,7415,JED,PK-GIH,CGK,08052026,2025,09052026,0645,773
JKB,016,7316,CGK,PK-GIH,JED,09052026,2325,10052026,0940,773
JKB,016,7416,JED,PK-GIH,CGK,10052026,1105,10052026,2125,773
JKT,017,7317,CGK,PK-GIH,JED,10052026,1005,10052026,2020,773
JKT,017,7417,JED,PK-GIH,CGK,10052026,2150,11052026,0810,773
JKT,018,930,CGK,PK-GIH,JED,11052026,0700,11052026,1715,773
JKT,018,931,JED,PK-GIH,CGK,11052026,1915,12052026,0535,773
JKB,019,7319,CGK,PK-GIH,JED,12052026,0045,12052026,1100,773
JKB,019,7419,JED,PK-GIH,CGK,12052026,1230,12052026,2250,773
JKB,020,7320,CGK,PK-GIH,JED,12052026,1010,12052026,2025,773
JKB,020,7420,JED,PK-GIH,CGK,12052026,2155,13052026,0815,773
JKB,021,932,CGK,PK-GIH,JED,13052026,0840,13052026,1855,773
JKB,021,933,JED,PK-GIH,CGK,13052026,2055,14052026,0715,773
JKB,022,7322,CGK,PK-GIH,JED,13052026,1850,14052026,0505,773
JKB,022,7422,JED,PK-GIH,CGK,14052026,0635,14052026,1655,773
JKT,023,7323,CGK,PK-GIH,JED,14052026,1805,15052026,0420,773
JKT,023,7423,JED,PK-GIH,CGK,15052026,0550,15052026,1610,773
JKT,024,7324,CGK,PK-GIH,JED,15052026,0930,15052026,1945,773
JKT,024,7424,JED,PK-GIH,CGK,15052026,2115,16052026,0735,773
JKB,025,7325,CGK,PK-GIH,JED,15052026,1945,16052026,0600,773
JKB,025,7425,JED,PK-GIH,CGK,16052026,0730,16052026,1750,773
JKB,026,7326,CGK,PK-GIH,JED,16052026,1550,17052026,0205,773
JKB,026,7426,JED,PK-GIH,CGK,17052026,0335,17052026,1355,773
JKB,027,7327,CGK,PK-GIH,JED,16052026,1840,17052026,0455,773
JKB,027,7427,JED,PK-GIH,CGK,17052026,0625,17052026,1645,773
JKB,028,7328,CGK,PK-GIH,JED,17052026,1015,17052026,2030,773
JKB,028,7428,JED,PK-GIH,CGK,17052026,2200,18052026,0820,773
JKB,029,7329,CGK,PK-GIH,JED,17052026,2045,18052026,0700,773
JKB,029,7429,JED,PK-GIH,CGK,18052026,0830,18052026,1850,773
JKB,030,930,CGK,PK-GIH,JED,18052026,1010,18052026,2025,773
JKB,030,931,JED,PK-GIH,CGK,18052026,2225,19052026,0845,773
JKT,031,7331,CGK,PK-GIH,JED,18052026,1615,19052026,0230,773
JKT,031,7431,JED,PK-GIH,UPG,19052026,0400,19052026,1535,773
JKB,032,7332,CGK,PK-GIH,JED,19052026,0230,19052026,1245,773
JKB,032,7432,JED,PK-GIH,UPG,19052026,1415,20052026,0150,773
JKT,033,7333,CGK,PK-GIH,JED,19052026,2305,20052026,0920,773
JKT,033,7433,JED,PK-GIH,CGK,20052026,1050,20052026,2110,773
XXX,033,9999,0,PK-GIH,0,30121899,0000,30121899,0000,0
